file,Essay Type,Country,Level,Temporal N,Temporal %,Contingency N,Contingency %,Comparison N,Comparison %,Expansion N,Expansion %,total lines
106i_AR_1_TWN_1_F_11094_PRD.txt.pipe,Jobs,6i_,_F_1,10,0.3,12,0.36,5,0.15,6,0.18,33
106i_AR_F_CHN_1_F_10533_PRD.txt.pipe,Jobs,6i_,_F_1,6,0.15,12,0.29,6,0.15,17,0.41,41
106i_AR_F_CHN_1_M_10012_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.07,8,0.29,7,0.25,11,0.39,28
106i_AR_1_PAK_1_F_11124_PRD.txt.pipe,Jobs,6i_,_F_1,1,0.04,9,0.38,2,0.08,12,0.5,24
106i_AR_1_CHN_2_M_10974_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.1,0,0.0,1,0.05,18,0.86,21
106i_AR_1_CHN_1_F_10034_PRD.txt.pipe,Jobs,6i_,_F_1,4,0.2,6,0.3,3,0.15,7,0.35,20
106i_AR_F_KOR_2_F_10270_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.12,9,0.35,5,0.19,9,0.35,26
105_AR_F_USA_NA_NA_10726_NAU.txt.pipe,Jobs,5_A,_NA_,19,0.28,11,0.16,5,0.07,34,0.49,69
106i_AR_1_CHN_1_M_10498_PRD.txt.pipe,Jobs,6i_,_M_1,1,0.03,13,0.39,5,0.15,14,0.42,33
106i_AR_F_IND_1_M_10602_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.29,2,0.14,5,0.36,3,0.21,14
105_AR_F_NAN_NA_NA_10548_NAU.txt.pipe,Jobs,5_A,_NA_,8,0.14,11,0.2,9,0.16,28,0.5,56
106i_AR_F_CHN_2_M_10360_PRD.txt.pipe,Jobs,6i_,_M_1,6,0.18,16,0.47,5,0.15,7,0.21,34
106i_AR_1_ECU_1_F_10252_PRD.txt.pipe,Jobs,6i_,_F_1,0,0.0,2,0.15,4,0.31,7,0.54,13
106i_AR_F_IND_1_M_11163_PRD.txt.pipe,Jobs,6i_,_M_1,3,0.11,7,0.26,8,0.3,9,0.33,27
106i_AR_1_CHN_1_F_10195_PRD.txt.pipe,Jobs,6i_,_F_1,6,0.25,9,0.38,5,0.21,4,0.17,24
106i_AR_F_CHN_1_M_10123_PRD.txt.pipe,Jobs,6i_,_M_1,11,0.33,7,0.21,4,0.12,11,0.33,33
106i_AR_F_CHN_1_M_10477_PRD.txt.pipe,Jobs,6i_,_M_1,2,0.1,4,0.2,6,0.3,8,0.4,20
106i_AR_1_IND_1_M_10598_PRD.txt.pipe,Jobs,6i_,_M_1,7,0.29,5,0.21,7,0.29,5,0.21,24
106i_AR_1_CZE_1_M_10590_PRD.txt.pipe,Jobs,6i_,_M_1,4,0.15,8,0.3,3,0.11,12,0.44,27
106i_AR_1_CHN_1_M_10531_PRD.txt.pipe,Jobs,6i_,_M_1,8,0.22,9,0.25,8,0.22,11,0.31,36
105_AR_F_NAN_NA_NA_10591_NAU.txt.pipe,Jobs,5_A,_NA_,9,0.11,22,0.26,14,0.16,40,0.47,85
106i_AR_1_KOR_2_M_10005_PRD.txt.pipe,Jobs,6i_,_M_1,0,0.0,2,0.33,2,0.33,2,0.33,6
106i_AR_1_IDN_1_F_11121_PRD.txt.pipe,Jobs,6i_,_F_1,3,0.11,8,0.29,5,0.18,12,0.43,28
106i_AR_1_CHN_1_M_10082_PRD.txt.pipe,Jobs,6i_,_M_1,0,0.0,3,0.75,0,0.0,1,0.25,4
