file,Essay Type,Country,Level,Temporal N,Temporal Mean,Contingency N,Contingency Mean,Comparison N,Comparison Mean,Expansion N,Expansion Mean,Explicit N,Explicit Mean,Implicit N,Implicit Mean,Conjunction N,Conjunction Mean,Condition N,Condition Mean,Cause N,Cause Mean,Concession N,Concession Mean,Asynchronous N,Asynchronous Mean,Alternative N,Alternative Mean,Contrast N,Contrast Mean,Restatement N,Restatement Mean,Synchrony N,Synchrony Mean,List N,List Mean,Instantiation N,Instantiation Mean,Pragmatic_condition N,Pragmatic_condition Mean,Exception N,Exception Mean,Pragmatic_contrast N,Pragmatic_contrast Mean,Pragmatic_concession N,Pragmatic_concession Mean,Pragmatic_cause N,Pragmatic_cause Mean,total lines
W_TWN_SMK0_044_B1_1.txt.pipe,Smoking,TWN,B1_1,2,0.29,2,0.29,2,0.29,1,0.14,7,1,0,0,1,0.14,0,0,2,0.29,0,0,0,0,0,0,2,0.29,0,0,2,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
W_TWN_SMK0_153_B1_1.txt.pipe,Smoking,TWN,B1_1,1,0.08,4,0.33,4,0.33,3,0.25,12,1,0,0,3,0.25,1,0.08,3,0.25,0,0,1,0.08,0,0,4,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
W_TWN_SMK0_026_B1_1.txt.pipe,Smoking,TWN,B1_1,1,0.11,3,0.33,4,0.44,1,0.11,9,1,0,0,1,0.11,1,0.11,2,0.22,0,0,0,0,0,0,4,0.44,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
W_TWN_PTJ0_151_B1_1.txt.pipe,Jobs,TWN,B1_1,1,0.09,4,0.36,4,0.36,2,0.18,11,1,0,0,1,0.09,2,0.18,2,0.18,0,0,0,0,0,0,4,0.36,1,0.09,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
W_TWN_PTJ0_061_B1_1.txt.pipe,Jobs,TWN,B1_1,0,0,2,0.2,4,0.4,4,0.4,10,1,0,0,4,0.4,2,0.2,0,0,1,0.1,0,0,0,0,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
W_TWN_SMK0_163_B1_1.txt.pipe,Smoking,TWN,B1_1,0,0,2,0.33,2,0.33,2,0.33,6,1,0,0,2,0.33,0,0,2,0.33,0,0,0,0,0,0,2,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
W_TWN_SMK0_171_B1_1.txt.pipe,Smoking,TWN,B1_1,0,0,3,0.38,1,0.12,4,0.5,8,1,0,0,4,0.5,1,0.12,2,0.25,0,0,0,0,0,0,1,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
W_TWN_PTJ0_189_B1_1.txt.pipe,Jobs,TWN,B1_1,2,0.18,1,0.09,3,0.27,5,0.45,11,1,0,0,4,0.36,1,0.09,0,0,1,0.09,0,0,1,0.09,2,0.18,0,0,2,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
W_TWN_SMK0_008_B1_1.txt.pipe,Smoking,TWN,B1_1,1,0.14,1,0.14,0,0,5,0.71,7,1,0,0,4,0.57,1,0.14,0,0,0,0,0,0,1,0.14,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
W_TWN_PTJ0_122_B1_1.txt.pipe,Jobs,TWN,B1_1,0,0,4,0.67,1,0.17,1,0.17,6,1,0,0,0,0,1,0.17,3,0.5,0,0,0,0,0,0,1,0.17,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
W_TWN_PTJ0_059_B1_1.txt.pipe,Jobs,TWN,B1_1,1,0.14,3,0.43,0,0,3,0.43,7,1,0,0,3,0.43,2,0.29,1,0.14,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
W_TWN_SMK0_197_B1_1.txt.pipe,Smoking,TWN,B1_1,1,0.1,6,0.6,0,0,3,0.3,10,1,0,0,3,0.3,2,0.2,4,0.4,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
W_TWN_SMK0_030_B1_1.txt.pipe,Smoking,TWN,B1_1,3,0.21,4,0.29,4,0.29,3,0.21,14,1,0,0,3,0.21,3,0.21,1,0.07,0,0,1,0.07,0,0,4,0.29,0,0,2,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
W_TWN_SMK0_114_B1_1.txt.pipe,Smoking,TWN,B1_1,2,0.18,3,0.27,0,0,6,0.55,11,1,0,0,4,0.36,2,0.18,1,0.09,0,0,0,0,1,0.09,0,0,1,0.09,2,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
W_TWN_SMK0_002_B1_1.txt.pipe,Smoking,TWN,B1_1,0,0,4,0.4,3,0.3,3,0.3,10,1,0,0,3,0.3,0,0,4,0.4,1,0.1,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
W_TWN_PTJ0_046_B1_1.txt.pipe,Jobs,TWN,B1_1,0,0,6,0.3,2,0.1,12,0.6,20,1,0,0,8,0.4,0,0,6,0.3,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,4,0.2,0,0,0,0,0,0,0,0,0,0,20
W_TWN_SMK0_113_B1_1.txt.pipe,Smoking,TWN,B1_1,0,0,5,0.62,1,0.12,2,0.25,8,1,0,0,2,0.25,1,0.12,4,0.5,0,0,0,0,0,0,1,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
W_TWN_SMK0_079_B1_1.txt.pipe,Smoking,TWN,B1_1,0,0,3,0.3,1,0.1,6,0.6,10,1,0,0,6,0.6,1,0.1,2,0.2,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
W_TWN_SMK0_046_B1_1.txt.pipe,Smoking,TWN,B1_1,2,0.14,5,0.36,2,0.14,5,0.36,14,1,0,0,5,0.36,1,0.07,4,0.29,0,0,0,0,0,0,2,0.14,0,0,2,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
W_TWN_PTJ0_157_B1_1.txt.pipe,Jobs,TWN,B1_1,1,0.09,4,0.36,2,0.18,4,0.36,11,1,0,0,3,0.27,0,0,4,0.36,1,0.09,0,0,0,0,1,0.09,0,0,1,0.09,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,11
W_TWN_PTJ0_091_B1_1.txt.pipe,Jobs,TWN,B1_1,3,0.43,0,0,1,0.14,3,0.43,7,1,0,0,1,0.14,0,0,0,0,0,0,3,0.43,1,0.14,1,0.14,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,7
W_TWN_PTJ0_079_B1_1.txt.pipe,Jobs,TWN,B1_1,1,0.09,3,0.27,2,0.18,5,0.45,11,1,0,0,4,0.36,3,0.27,0,0,1,0.09,0,0,0,0,1,0.09,0,0,1,0.09,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,11
W_TWN_PTJ0_195_B1_1.txt.pipe,Jobs,TWN,B1_1,0,0,2,0.22,2,0.22,5,0.56,9,1,0,0,5,0.56,1,0.11,1,0.11,0,0,0,0,0,0,2,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
W_TWN_PTJ0_045_B1_1.txt.pipe,Jobs,TWN,B1_1,1,0.12,2,0.25,0,0,5,0.62,8,1,0,0,5,0.62,2,0.25,0,0,0,0,1,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
W_TWN_PTJ0_087_B1_1.txt.pipe,Jobs,TWN,B1_1,3,0.27,4,0.36,0,0,4,0.36,11,1,0,0,4,0.36,1,0.09,3,0.27,0,0,2,0.18,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
W_TWN_SMK0_140_B1_1.txt.pipe,Smoking,TWN,B1_1,0,0,2,0.4,0,0,3,0.6,5,1,0,0,3,0.6,0,0,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
W_TWN_SMK0_102_B1_1.txt.pipe,Smoking,TWN,B1_1,0,0,6,0.55,1,0.09,4,0.36,11,1,0,0,3,0.27,2,0.18,4,0.36,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,11
W_TWN_PTJ0_156_B1_1.txt.pipe,Jobs,TWN,B1_1,0,0,2,0.5,0,0,2,0.5,4,1,0,0,1,0.25,1,0.25,1,0.25,0,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
W_TWN_PTJ0_104_B1_1.txt.pipe,Jobs,TWN,B1_1,1,0.1,4,0.4,2,0.2,3,0.3,10,1,0,0,2,0.2,0,0,4,0.4,1,0.1,0,0,0,0,1,0.1,0,0,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,10
W_TWN_SMK0_112_B1_1.txt.pipe,Smoking,TWN,B1_1,0,0,3,0.27,2,0.18,6,0.55,11,1,0,0,5,0.45,2,0.18,1,0.09,0,0,0,0,0,0,2,0.18,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,11
W_TWN_PTJ0_181_B1_1.txt.pipe,Jobs,TWN,B1_1,0,0,5,0.56,3,0.33,1,0.11,9,1,0,0,1,0.11,3,0.33,2,0.22,0,0,0,0,0,0,3,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
W_TWN_SMK0_158_B1_1.txt.pipe,Smoking,TWN,B1_1,0,0,0,0,1,0.14,6,0.86,7,1,0,0,6,0.86,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
W_TWN_SMK0_151_B1_1.txt.pipe,Smoking,TWN,B1_1,0,0,1,0.2,1,0.2,3,0.6,5,1,0,0,3,0.6,0,0,1,0.2,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
W_TWN_PTJ0_052_B1_1.txt.pipe,Jobs,TWN,B1_1,3,0.3,1,0.1,0,0,6,0.6,10,1,0,0,6,0.6,0,0,1,0.1,0,0,1,0.1,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
W_TWN_SMK0_065_B1_1.txt.pipe,Smoking,TWN,B1_1,1,0.09,5,0.45,4,0.36,1,0.09,11,1,0,0,1,0.09,1,0.09,4,0.36,1,0.09,0,0,0,0,3,0.27,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
W_TWN_SMK0_149_B1_1.txt.pipe,Smoking,TWN,B1_1,0,0,3,0.43,0,0,4,0.57,7,1,0,0,3,0.43,3,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,7
W_TWN_SMK0_159_B1_1.txt.pipe,Smoking,TWN,B1_1,1,0.1,3,0.3,1,0.1,5,0.5,10,1,0,0,5,0.5,2,0.2,1,0.1,0,0,0,0,0,0,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
W_TWN_SMK0_161_B1_1.txt.pipe,Smoking,TWN,B1_1,1,0.2,1,0.2,1,0.2,2,0.4,5,1,0,0,2,0.4,0,0,1,0.2,0,0,1,0.2,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
W_TWN_PTJ0_058_B1_1.txt.pipe,Jobs,TWN,B1_1,1,0.12,4,0.5,3,0.38,0,0,8,1,0,0,0,0,3,0.38,1,0.12,1,0.12,0,0,0,0,2,0.25,0,0,1,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
W_TWN_SMK0_055_B1_1.txt.pipe,Smoking,TWN,B1_1,1,0.1,4,0.4,1,0.1,4,0.4,10,1,0,0,4,0.4,1,0.1,3,0.3,1,0.1,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
W_TWN_PTJ0_161_B1_1.txt.pipe,Jobs,TWN,B1_1,0,0,2,0.29,2,0.29,3,0.43,7,1,0,0,3,0.43,1,0.14,1,0.14,1,0.14,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
W_TWN_PTJ0_090_B1_1.txt.pipe,Jobs,TWN,B1_1,4,0.4,1,0.1,0,0,5,0.5,10,1,0,0,4,0.4,0,0,1,0.1,0,0,2,0.2,0,0,0,0,1,0.1,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
