file,Essay Type,Country,Level,Elaboration N,Elaboration %,Same-Unit N,Same-Unit %,Attribution N,Attribution %,Joint N,Joint %,Enablement N,Enablement %,Background N,Background %,Comparison N,Comparison %,Contrast N,Contrast %,Manner-Means N,Manner-Means %,Temporal N,Temporal %,Condition N,Condition %,Summary N,Summary %,Cause N,Cause %,Topic-Comment N,Topic-Comment %,Evaluation N,Evaluation %,Explanation N,Explanation %,Textual-Organization N,Textual-Organization %,Topic-Change N,Topic-Change %,Comparison N,Comparison %,total lines
W_KOR_PTJ0_045_A2_0.txt.json.edus.parse,Jobs,KOR,A2_0,13,0.35,5,0.14,8,0.22,5,0.14,2,0.05,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,2,0.05,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,37
W_TWN_PTJ0_190_A2_0.txt.json.edus.parse,Jobs,TWN,A2_0,7,0.19,4,0.11,6,0.16,7,0.19,3,0.08,2,0.05,0,0.0,1,0.03,2,0.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.14,0,0.0,0,0.0,0,0.0,37
W_CHN_PTJ0_183_B1_2.txt.json.edus.parse,Jobs,CHN,B1_2,5,0.14,7,0.19,3,0.08,7,0.19,2,0.06,1,0.03,1,0.03,1,0.03,0,0.0,0,0.0,4,0.11,0,0.0,0,0.0,0,0.0,0,0.0,4,0.11,0,0.0,0,0.0,1,0.03,36
W_JPN_PTJ0_091_B1_1.txt.json.edus.parse,Jobs,JPN,B1_1,12,0.41,3,0.1,2,0.07,5,0.17,7,0.24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29
W_SIN_SMK0_162_B1_2.txt.json.edus.parse,Smoking,SIN,B1_2,7,0.24,8,0.28,4,0.14,3,0.1,0,0.0,1,0.03,0,0.0,0,0.0,1,0.03,0,0.0,3,0.1,0,0.0,1,0.03,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,29
W_PHL_SMK0_166_B1_1.txt.json.edus.parse,Smoking,PHL,B1_1,9,0.31,5,0.17,1,0.03,3,0.1,1,0.03,0,0.0,0,0.0,2,0.07,0,0.0,1,0.03,2,0.07,0,0.0,0,0.0,0,0.0,0,0.0,5,0.17,0,0.0,0,0.0,0,0.0,29
W_KOR_PTJ0_224_B2_0.txt.json.edus.parse,Jobs,KOR,B2_0,12,0.52,1,0.04,1,0.04,1,0.04,0,0.0,2,0.09,0,0.0,3,0.13,0,0.0,0,0.0,3,0.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23
W_PHL_SMK0_150_B1_2.txt.json.edus.parse,Smoking,PHL,B1_2,9,0.27,2,0.06,3,0.09,6,0.18,0,0.0,2,0.06,1,0.03,1,0.03,0,0.0,0,0.0,6,0.18,0,0.0,0,0.0,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,1,0.03,33
W_JPN_PTJ0_331_A2_0.txt.json.edus.parse,Jobs,JPN,A2_0,11,0.3,6,0.16,6,0.16,3,0.08,2,0.05,1,0.03,0,0.0,0,0.0,0,0.0,2,0.05,2,0.05,0,0.0,1,0.03,0,0.0,0,0.0,3,0.08,0,0.0,0,0.0,0,0.0,37
W_THA_SMK0_361_B1_1.txt.json.edus.parse,Smoking,THA,B1_1,6,0.19,1,0.03,7,0.22,2,0.06,3,0.09,2,0.06,0,0.0,0,0.0,0,0.0,0,0.0,9,0.28,0,0.0,0,0.0,0,0.0,0,0.0,2,0.06,0,0.0,0,0.0,0,0.0,32
